"from_station,Acton Town,Aldgate,Aldgate East,Alperton,Amersham,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank,Barbican,Barking,Barkingside,Barons Court,Bayswater,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Bond Street,Borough,Boston Manor,Bounds Green,Bow Road,Brent Cross,Brixton,Bromley-By-Bow,Buckhurst Hill,Burnt Oak,Caledonian Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canons Park,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Chigwell,Chiswick Park,Chorleywood,Clapham Common,Clapham North,Clapham South,Cockfosters,Colindale,Colliers Wood,Covent Garden,Croxley,Dagenham East,Dagenham Heathway,Debden,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East Putney,Eastcote,Edgware,Edgware Road (B),Edgware Road (C),Elephant & Castle,Elm Park,Embankment,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finsbury Park,Fulham Broadway,Gants Hill,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Grange Hill,Great Portland Street,Green Park,Greenford,Gunnersbury,Hainault,Hammersmith,Hampstead,Hanger Lane,Harlesden,Harrow & Wealdston,Harrow-on-the-Hill,Hatton Cross,Heathrow Terminal 4,Heathrow Terminals 123,Hendon Central,High Barnet,High Street Kensington,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hyde Park Corner,Ickenham,Kennington,Kensal Green,Kensington (Olympia),Kentish Town,Kenton,Kew Gardens,Kilburn,Kilburn Park,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Latimer Road,Leicester Square,Leyton,Leytonstone,Liverpool Street,London Bridge,Loughton,Maida Vale,Manor House,Mansion House,Marble Arch,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Neasden,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Perivale,Picadilly Circus,Pimlico,Pinner,Plaistow,Preston Road,Putney Bridge,Queen's Park,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Royal Oak,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Sisters,Shepherd's Bush (C),Shepherd's Bush (H),Sloane Square,Snaresbrook,South Ealing,South Harrow,South Kensington,South Kenton,South Ruislip,South Wimbledon,South Woodford,Southfields,Southgate,Southwark,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stanmore,Stepney Green,Stockwell,Stonebridge Park,Stratford,Sudbury Hill,Sudbury Town,Swiss Cottage,Temple,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Hill,Tufnell Park,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Wanstead,Warren Street,Warwick Avenue,Waterloo,Watford,Wembley Central,Wembley Park,West Acton,West Brompton,West Finchley,West Ham,West Hampstead,West Harrow,West Kensington,West Ruislip,Westbourne Park,Westminster,White City,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Woodford,Woodside Park,All"
"Acton Town,,24.0,28.0,13.0,2.0,34.0,15.0,6.0,4.0,57.0,23.0,158.0,27.0,27.0,3.0,26.0,9.0,5.0,10.0,19.0,22.0,39.0,12.0,74.0,13.0,11.0,8.0,9.0,5.0,46.0,7.0,4.0,7.0,11.0,32.0,50.0,53.0,42.0,22.0,6.0,2.0,10.0,46.0,39.0,2.0,1.0,24.0,1.0,18.0,13.0,15.0,3.0,12.0,10.0,29.0,3.0,5.0,9.0,4.0,7.0,105.0,31.0,48.0,13.0,12.0,19.0,16.0,8.0,7.0,13.0,18.0,31.0,5.0,46.0,5.0,67.0,33.0,2.0,53.0,11.0,19.0,43.0,27.0,9.0,32.0,13.0,8.0,20.0,2.0,23.0,94.0,12.0,11.0,5.0,115.0,8.0,14.0,5.0,7.0,19.0,7.0,5.0,12.0,12.0,7.0,35.0,59.0,10.0,4.0,70.0,10.0,11.0,4.0,12.0,12.0,8.0,14.0,3.0,10.0,4.0,2.0,17.0,3.0,16.0,14.0,7.0,135.0,9.0,33.0,17.0,7.0,14.0,10.0,54.0,17.0,14.0,118.0,110.0,5.0,8.0,11.0,20.0,29.0,30.0,21.0,3.0,2.0,76.0,14.0,12.0,7.0,7.0,28.0,7.0,37.0,5.0,3.0,22.0,11.0,10.0,6.0,4.0,36.0,4.0,46.0,9.0,14.0,147.0,101.0,13.0,21.0,8.0,67.0,25.0,8.0,9.0,7.0,15.0,10.0,9.0,17.0,18.0,11.0,4.0,10.0,36.0,5.0,1.0,8.0,5.0,3.0,5.0,20.0,43.0,44.0,11.0,41.0,4.0,22.0,7.0,71.0,2.0,5.0,8.0,8.0,13.0,8.0,41.0,42.0,17.0,40.0,16.0,7.0,13.0,18.0,4.0,91.0,6.0,7.0,16.0,25.0,1.0,13.0,24.0,73.0,18.0,4.0,37.0,7.0,35.0,14.0,4.0,2.0,5.0,12.0,15.0,60.0,142.0,30.0,5.0,49.0,10.0,153.0,4.0,6.0,27.0,7.0,17.0,3.0,23.0,20.0,4.0,17.0,3.0,11.0,52.0,29.0,39.0,13.0,10.0,25.0,5.0,16.0,8.0,5.0,5908.0"
"Aldgate,12.0,,115.0,6.0,2.0,78.0,21.0,9.0,7.0,78.0,30.0,588.0,90.0,42.0,4.0,18.0,9.0,8.0,15.0,40.0,59.0,100.0,17.0,109.0,32.0,4.0,11.0,19.0,6.0,65.0,15.0,6.0,9.0,19.0,51.0,103.0,102.0,73.0,76.0,6.0,2.0,15.0,105.0,71.0,2.0,1.0,7.0,1.0,26.0,18.0,20.0,4.0,15.0,13.0,52.0,3.0,6.0,12.0,6.0,9.0,34.0,7.0,39.0,9.0,16.0,31.0,14.0,5.0,9.0,15.0,22.0,63.0,7.0,87.0,7.0,117.0,56.0,3.0,151.0,15.0,24.0,67.0,23.0,14.0,30.0,18.0,5.0,34.0,2.0,36.0,136.0,9.0,5.0,7.0,67.0,12.0,10.0,5.0,7.0,16.0,5.0,3.0,8.0,15.0,8.0,31.0,100.0,14.0,3.0,139.0,10.0,19.0,5.0,7.0,6.0,5.0,17.0,2.0,19.0,4.0,2.0,26.0,3.0,9.0,17.0,8.0,267.0,10.0,39.0,14.0,14.0,17.0,8.0,91.0,29.0,23.0,670.0,305.0,7.0,8.0,17.0,64.0,40.0,39.0,48.0,4.0,2.0,321.0,18.0,20.0,8.0,11.0,17.0,2.0,65.0,4.0,3.0,8.0,8.0,9.0,5.0,4.0,35.0,5.0,146.0,4.0,24.0,230.0,113.0,5.0,18.0,6.0,108.0,33.0,6.0,16.0,7.0,13.0,11.0,10.0,18.0,9.0,8.0,6.0,15.0,22.0,4.0,1.0,8.0,3.0,2.0,4.0,37.0,62.0,41.0,7.0,50.0,7.0,7.0,4.0,73.0,2.0,4.0,10.0,13.0,12.0,10.0,83.0,66.0,22.0,119.0,7.0,7.0,33.0,27.0,5.0,170.0,4.0,4.0,20.0,53.0,2.0,16.0,30.0,129.0,25.0,6.0,238.0,10.0,13.0,20.0,5.0,3.0,7.0,20.0,11.0,78.0,196.0,40.0,8.0,79.0,11.0,311.0,3.0,7.0,29.0,3.0,14.0,4.0,43.0,25.0,3.0,12.0,3.0,10.0,91.0,25.0,122.0,16.0,11.0,23.0,5.0,23.0,12.0,7.0,9978.0"
"Aldgate East,14.0,114.0,,7.0,3.0,90.0,25.0,10.0,8.0,91.0,35.0,659.0,102.0,52.0,5.0,20.0,10.0,9.0,18.0,47.0,68.0,113.0,20.0,127.0,36.0,5.0,13.0,26.0,7.0,75.0,19.0,7.0,11.0,22.0,59.0,141.0,135.0,93.0,83.0,7.0,2.0,18.0,121.0,82.0,2.0,2.0,8.0,1.0,30.0,21.0,23.0,4.0,18.0,15.0,60.0,3.0,8.0,15.0,7.0,10.0,40.0,8.0,45.0,11.0,18.0,39.0,16.0,6.0,10.0,18.0,25.0,73.0,8.0,99.0,8.0,136.0,65.0,3.0,172.0,17.0,28.0,78.0,27.0,17.0,35.0,21.0,6.0,39.0,3.0,41.0,157.0,10.0,6.0,9.0,78.0,14.0,11.0,6.0,8.0,18.0,6.0,4.0,10.0,18.0,10.0,36.0,117.0,16.0,4.0,160.0,12.0,22.0,6.0,8.0,8.0,6.0,20.0,3.0,22.0,5.0,2.0,30.0,3.0,10.0,20.0,9.0,308.0,12.0,45.0,16.0,16.0,19.0,9.0,105.0,37.0,29.0,717.0,347.0,9.0,10.0,20.0,71.0,46.0,46.0,68.0,4.0,2.0,356.0,20.0,23.0,10.0,13.0,19.0,3.0,83.0,5.0,3.0,9.0,10.0,10.0,6.0,4.0,40.0,6.0,166.0,5.0,28.0,267.0,132.0,6.0,21.0,7.0,124.0,38.0,7.0,21.0,8.0,15.0,12.0,11.0,21.0,10.0,9.0,7.0,18.0,25.0,5.0,1.0,10.0,4.0,2.0,4.0,43.0,72.0,48.0,9.0,58.0,8.0,8.0,5.0,84.0,2.0,4.0,11.0,16.0,14.0,12.0,96.0,76.0,26.0,135.0,8.0,8.0,50.0,31.0,5.0,220.0,4.0,4.0,23.0,61.0,2.0,19.0,35.0,149.0,29.0,6.0,237.0,12.0,15.0,24.0,6.0,3.0,8.0,26.0,13.0,90.0,228.0,46.0,9.0,92.0,13.0,358.0,4.0,8.0,33.0,4.0,16.0,4.0,55.0,29.0,4.0,14.0,3.0,12.0,105.0,29.0,224.0,19.0,13.0,27.0,5.0,27.0,14.0,8.0,11590.0"
"Alperton,13.0,13.0,15.0,,2.0,18.0,8.0,4.0,2.0,29.0,12.0,83.0,15.0,15.0,2.0,11.0,4.0,3.0,5.0,10.0,12.0,20.0,7.0,38.0,7.0,4.0,5.0,5.0,3.0,24.0,4.0,2.0,4.0,6.0,17.0,27.0,29.0,23.0,12.0,4.0,1.0,5.0,24.0,20.0,1.0,1.0,6.0,1.0,10.0,7.0,8.0,2.0,7.0,6.0,15.0,2.0,3.0,5.0,2.0,5.0,41.0,9.0,22.0,7.0,6.0,11.0,8.0,6.0,4.0,6.0,9.0,16.0,3.0,24.0,3.0,35.0,17.0,1.0,28.0,6.0,10.0,23.0,13.0,5.0,15.0,7.0,3.0,10.0,1.0,12.0,47.0,6.0,4.0,3.0,47.0,5.0,7.0,3.0,4.0,15.0,4.0,2.0,6.0,7.0,4.0,16.0,32.0,5.0,3.0,36.0,5.0,6.0,2.0,6.0,6.0,4.0,7.0,2.0,5.0,2.0,1.0,9.0,1.0,7.0,8.0,4.0,71.0,7.0,16.0,8.0,4.0,7.0,5.0,27.0,9.0,8.0,63.0,58.0,3.0,4.0,6.0,11.0,15.0,15.0,12.0,2.0,2.0,40.0,8.0,6.0,5.0,4.0,14.0,3.0,20.0,4.0,2.0,7.0,6.0,7.0,4.0,3.0,17.0,2.0,25.0,4.0,7.0,75.0,50.0,10.0,10.0,4.0,34.0,13.0,6.0,5.0,5.0,7.0,5.0,6.0,8.0,7.0,9.0,2.0,5.0,17.0,3.0,0.0,4.0,3.0,1.0,4.0,10.0,24.0,24.0,5.0,20.0,2.0,7.0,6.0,34.0,1.0,3.0,4.0,5.0,7.0,4.0,21.0,21.0,9.0,21.0,6.0,5.0,7.0,9.0,2.0,50.0,6.0,9.0,8.0,13.0,1.0,7.0,13.0,38.0,10.0,3.0,20.0,4.0,11.0,8.0,2.0,1.0,3.0,7.0,11.0,31.0,71.0,17.0,3.0,25.0,5.0,79.0,3.0,4.0,20.0,3.0,8.0,2.0,13.0,11.0,4.0,7.0,2.0,5.0,27.0,15.0,21.0,8.0,6.0,13.0,3.0,9.0,5.0,3.0,3079.0"
"Amersham,5.0,10.0,11.0,3.0,,14.0,6.0,3.0,2.0,21.0,9.0,61.0,11.0,13.0,2.0,6.0,3.0,3.0,4.0,8.0,9.0,15.0,6.0,27.0,5.0,2.0,4.0,4.0,2.0,17.0,3.0,2.0,3.0,4.0,12.0,21.0,23.0,19.0,9.0,3.0,4.0,4.0,18.0,14.0,3.0,0.0,3.0,1.0,7.0,5.0,6.0,1.0,6.0,4.0,11.0,3.0,2.0,4.0,2.0,4.0,16.0,3.0,12.0,3.0,5.0,9.0,5.0,4.0,3.0,4.0,6.0,12.0,3.0,17.0,3.0,25.0,13.0,1.0,22.0,5.0,8.0,18.0,7.0,5.0,9.0,6.0,2.0,7.0,1.0,9.0,32.0,4.0,2.0,3.0,23.0,4.0,4.0,2.0,3.0,10.0,2.0,2.0,4.0,5.0,3.0,10.0,25.0,4.0,2.0,26.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,7.0,1.0,4.0,7.0,3.0,53.0,5.0,10.0,5.0,3.0,5.0,3.0,19.0,8.0,6.0,47.0,42.0,3.0,3.0,5.0,8.0,10.0,11.0,9.0,1.0,2.0,30.0,6.0,5.0,4.0,4.0,7.0,1.0,16.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,11.0,2.0,19.0,2.0,5.0,53.0,34.0,2.0,6.0,3.0,24.0,8.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,10.0,6.0,0.0,3.0,2.0,1.0,3.0,8.0,20.0,14.0,3.0,13.0,2.0,3.0,3.0,20.0,1.0,2.0,3.0,4.0,4.0,4.0,15.0,14.0,7.0,16.0,3.0,4.0,5.0,7.0,2.0,40.0,2.0,2.0,7.0,9.0,1.0,5.0,10.0,27.0,8.0,2.0,15.0,3.0,5.0,7.0,2.0,1.0,2.0,5.0,8.0,21.0,47.0,14.0,2.0,18.0,3.0,56.0,3.0,3.0,15.0,1.0,4.0,1.0,10.0,9.0,2.0,4.0,1.0,3.0,18.0,8.0,16.0,7.0,4.0,9.0,2.0,8.0,4.0,3.0,2182.0"
"Angel,19.0,90.0,105.0,10.0,4.0,,42.0,16.0,15.0,169.0,45.0,612.0,109.0,61.0,7.0,29.0,18.0,11.0,30.0,54.0,70.0,100.0,31.0,208.0,40.0,7.0,21.0,25.0,11.0,94.0,20.0,8.0,16.0,42.0,113.0,138.0,139.0,103.0,65.0,11.0,3.0,32.0,156.0,113.0,3.0,2.0,11.0,1.0,37.0,27.0,30.0,6.0,27.0,19.0,93.0,4.0,10.0,18.0,9.0,16.0,59.0,12.0,65.0,16.0,29.0,46.0,23.0,9.0,16.0,32.0,45.0,84.0,10.0,131.0,11.0,301.0,139.0,4.0,209.0,26.0,46.0,135.0,38.0,21.0,51.0,34.0,9.0,70.0,3.0,82.0,242.0,15.0,8.0,11.0,111.0,24.0,17.0,9.0,12.0,27.0,8.0,5.0,14.0,28.0,14.0,54.0,222.0,26.0,5.0,255.0,18.0,40.0,8.0,11.0,11.0,8.0,30.0,4.0,26.0,8.0,3.0,53.0,5.0,14.0,33.0,15.0,800.0,17.0,68.0,27.0,18.0,30.0,14.0,162.0,42.0,33.0,483.0,365.0,11.0,16.0,33.0,58.0,74.0,83.0,62.0,6.0,3.0,341.0,27.0,47.0,15.0,16.0,29.0,4.0,92.0,7.0,5.0,12.0,14.0,15.0,9.0,6.0,64.0,9.0,274.0,7.0,33.0,448.0,228.0,8.0,30.0,10.0,186.0,53.0,11.0,23.0,12.0,22.0,20.0,17.0,32.0,15.0,13.0,9.0,29.0,36.0,7.0,2.0,16.0,6.0,4.0,7.0,87.0,116.0,74.0,13.0,80.0,10.0,11.0,7.0,122.0,3.0,6.0,15.0,19.0,20.0,18.0,109.0,96.0,44.0,138.0,12.0,12.0,40.0,38.0,8.0,235.0,6.0,6.0,39.0,67.0,3.0,25.0,46.0,231.0,47.0,10.0,129.0,21.0,21.0,38.0,8.0,4.0,10.0,29.0,19.0,125.0,315.0,71.0,11.0,190.0,21.0,406.0,6.0,12.0,51.0,6.0,24.0,7.0,59.0,47.0,6.0,20.0,4.0,20.0,132.0,44.0,132.0,30.0,20.0,37.0,7.0,42.0,17.0,12.0,15116.0"
"Archway,15.0,46.0,54.0,8.0,3.0,78.0,,12.0,9.0,101.0,34.0,295.0,58.0,45.0,5.0,23.0,12.0,8.0,27.0,32.0,40.0,70.0,23.0,142.0,23.0,6.0,15.0,15.0,10.0,70.0,13.0,6.0,14.0,24.0,105.0,85.0,90.0,70.0,39.0,8.0,2.0,29.0,90.0,75.0,3.0,1.0,9.0,1.0,28.0,20.0,23.0,5.0,24.0,15.0,56.0,3.0,7.0,14.0,7.0,12.0,47.0,9.0,50.0,12.0,45.0,32.0,18.0,7.0,14.0,20.0,28.0,54.0,8.0,87.0,8.0,172.0,71.0,3.0,116.0,34.0,32.0,87.0,30.0,15.0,38.0,30.0,6.0,44.0,2.0,45.0,167.0,12.0,7.0,9.0,87.0,21.0,13.0,7.0,10.0,21.0,6.0,4.0,11.0,25.0,16.0,40.0,129.0,54.0,4.0,139.0,13.0,24.0,6.0,9.0,9.0,7.0,22.0,3.0,18.0,6.0,2.0,80.0,4.0,12.0,23.0,10.0,327.0,13.0,49.0,19.0,13.0,22.0,10.0,104.0,29.0,23.0,228.0,193.0,9.0,11.0,22.0,37.0,52.0,51.0,38.0,8.0,3.0,151.0,21.0,35.0,11.0,12.0,23.0,3.0,62.0,5.0,4.0,10.0,11.0,12.0,7.0,5.0,46.0,7.0,96.0,6.0,23.0,296.0,148.0,6.0,23.0,8.0,124.0,39.0,9.0,15.0,9.0,17.0,14.0,13.0,24.0,12.0,10.0,7.0,20.0,29.0,6.0,1.0,11.0,5.0,3.0,5.0,43.0,82.0,55.0,10.0,59.0,7.0,9.0,6.0,91.0,2.0,5.0,12.0,14.0,16.0,14.0,72.0,67.0,29.0,75.0,9.0,9.0,24.0,28.0,6.0,157.0,5.0,5.0,26.0,46.0,2.0,19.0,36.0,153.0,34.0,11.0,68.0,45.0,17.0,27.0,6.0,3.0,8.0,20.0,16.0,93.0,227.0,53.0,8.0,116.0,14.0,276.0,5.0,9.0,39.0,5.0,18.0,8.0,40.0,33.0,5.0,16.0,4.0,13.0,90.0,33.0,73.0,22.0,15.0,30.0,6.0,30.0,13.0,14.0,9772.0"
"Arnos Grove,8.0,23.0,28.0,5.0,2.0,37.0,15.0,,7.0,50.0,19.0,150.0,29.0,26.0,3.0,12.0,6.0,5.0,10.0,17.0,21.0,34.0,17.0,64.0,12.0,3.0,40.0,9.0,5.0,37.0,7.0,4.0,7.0,14.0,32.0,46.0,50.0,40.0,20.0,5.0,1.0,10.0,44.0,35.0,2.0,1.0,5.0,1.0,15.0,10.0,12.0,7.0,12.0,8.0,26.0,2.0,4.0,8.0,4.0,7.0,26.0,5.0,26.0,7.0,12.0,19.0,10.0,4.0,7.0,10.0,14.0,27.0,5.0,41.0,5.0,68.0,33.0,2.0,56.0,11.0,17.0,68.0,15.0,9.0,19.0,13.0,4.0,19.0,1.0,22.0,76.0,7.0,4.0,5.0,46.0,8.0,7.0,4.0,6.0,13.0,4.0,3.0,7.0,12.0,7.0,21.0,77.0,10.0,3.0,67.0,7.0,15.0,4.0,5.0,5.0,4.0,10.0,2.0,9.0,3.0,1.0,17.0,2.0,7.0,13.0,6.0,146.0,8.0,24.0,10.0,6.0,11.0,6.0,47.0,17.0,14.0,116.0,100.0,5.0,6.0,20.0,18.0,24.0,25.0,21.0,3.0,2.0,76.0,12.0,12.0,6.0,7.0,12.0,2.0,35.0,3.0,2.0,6.0,7.0,7.0,4.0,3.0,23.0,12.0,48.0,3.0,12.0,129.0,76.0,4.0,12.0,5.0,57.0,19.0,5.0,9.0,5.0,9.0,8.0,8.0,12.0,6.0,6.0,4.0,9.0,16.0,4.0,1.0,6.0,3.0,2.0,3.0,20.0,62.0,29.0,5.0,29.0,4.0,5.0,3.0,45.0,1.0,3.0,7.0,8.0,9.0,32.0,35.0,33.0,15.0,38.0,5.0,6.0,13.0,14.0,4.0,88.0,3.0,3.0,14.0,22.0,1.0,11.0,20.0,66.0,25.0,4.0,36.0,7.0,9.0,36.0,4.0,2.0,4.0,12.0,10.0,47.0,107.0,39.0,5.0,47.0,8.0,132.0,3.0,5.0,22.0,3.0,9.0,3.0,22.0,18.0,3.0,8.0,2.0,7.0,43.0,18.0,38.0,12.0,9.0,17.0,3.0,49.0,8.0,5.0,5038.0"
"Arsenal,5.0,16.0,18.0,3.0,1.0,28.0,9.0,5.0,,35.0,11.0,101.0,20.0,14.0,2.0,7.0,4.0,3.0,7.0,11.0,13.0,22.0,11.0,44.0,8.0,2.0,7.0,5.0,3.0,22.0,4.0,2.0,4.0,17.0,23.0,28.0,30.0,23.0,12.0,3.0,1.0,7.0,32.0,24.0,1.0,0.0,3.0,0.0,9.0,6.0,7.0,2.0,7.0,5.0,19.0,1.0,2.0,4.0,2.0,4.0,15.0,3.0,15.0,4.0,7.0,10.0,6.0,2.0,4.0,7.0,10.0,17.0,2.0,28.0,3.0,54.0,26.0,1.0,41.0,6.0,11.0,113.0,9.0,5.0,12.0,8.0,2.0,14.0,1.0,16.0,52.0,4.0,2.0,3.0,27.0,5.0,4.0,2.0,3.0,7.0,2.0,1.0,3.0,7.0,4.0,13.0,67.0,6.0,1.0,50.0,4.0,24.0,2.0,3.0,3.0,2.0,7.0,1.0,6.0,2.0,1.0,11.0,1.0,4.0,8.0,3.0,124.0,4.0,15.0,6.0,4.0,7.0,3.0,34.0,9.0,8.0,78.0,65.0,3.0,4.0,18.0,12.0,16.0,18.0,13.0,2.0,1.0,52.0,7.0,9.0,4.0,4.0,7.0,1.0,20.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,15.0,3.0,33.0,2.0,7.0,92.0,50.0,2.0,7.0,3.0,39.0,12.0,3.0,5.0,3.0,5.0,5.0,4.0,7.0,4.0,3.0,2.0,6.0,9.0,2.0,0.0,4.0,1.0,1.0,2.0,16.0,48.0,17.0,3.0,18.0,2.0,3.0,2.0,28.0,1.0,2.0,4.0,4.0,5.0,6.0,23.0,21.0,10.0,26.0,3.0,3.0,8.0,9.0,2.0,51.0,1.0,1.0,9.0,15.0,1.0,6.0,11.0,47.0,18.0,2.0,23.0,5.0,5.0,15.0,2.0,1.0,2.0,7.0,5.0,29.0,70.0,24.0,3.0,36.0,5.0,88.0,1.0,3.0,12.0,1.0,6.0,2.0,13.0,11.0,1.0,5.0,1.0,4.0,29.0,10.0,25.0,7.0,5.0,9.0,2.0,16.0,4.0,3.0,3329.0"
"Baker Street,34.0,98.0,115.0,18.0,6.0,184.0,59.0,23.0,20.0,,76.0,676.0,131.0,86.0,10.0,58.0,45.0,16.0,42.0,71.0,84.0,173.0,45.0,669.0,52.0,13.0,31.0,31.0,16.0,164.0,26.0,12.0,24.0,54.0,148.0,185.0,186.0,142.0,92.0,18.0,4.0,44.0,231.0,207.0,5.0,3.0,20.0,2.0,65.0,46.0,51.0,9.0,41.0,32.0,150.0,7.0,14.0,26.0,12.0,31.0,106.0,21.0,134.0,32.0,42.0,63.0,42.0,16.0,23.0,123.0,167.0,130.0,15.0,237.0,16.0,361.0,266.0,6.0,268.0,39.0,109.0,187.0,75.0,29.0,98.0,49.0,17.0,111.0,5.0,234.0,579.0,26.0,15.0,16.0,215.0,33.0,30.0,18.0,21.0,48.0,13.0,8.0,23.0,41.0,21.0,120.0,291.0,38.0,9.0,374.0,41.0,54.0,12.0,19.0,18.0,14.0,66.0,7.0,42.0,15.0,5.0,73.0,8.0,26.0,69.0,33.0,854.0,31.0,142.0,58.0,32.0,69.0,31.0,290.0,57.0,46.0,497.0,448.0,16.0,37.0,47.0,88.0,200.0,447.0,77.0,10.0,6.0,333.0,44.0,60.0,29.0,23.0,55.0,6.0,126.0,12.0,9.0,22.0,24.0,26.0,15.0,11.0,151.0,13.0,213.0,13.0,53.0,1065.0,683.0,14.0,57.0,18.0,388.0,105.0,19.0,30.0,22.0,41.0,42.0,30.0,69.0,28.0,23.0,13.0,121.0,62.0,12.0,2.0,41.0,10.0,6.0,11.0,105.0,167.0,158.0,27.0,161.0,14.0,20.0,12.0,240.0,5.0,11.0,25.0,27.0,36.0,27.0,180.0,181.0,126.0,181.0,22.0,20.0,49.0,67.0,15.0,311.0,10.0,10.0,96.0,118.0,4.0,42.0,76.0,446.0,68.0,14.0,150.0,29.0,39.0,55.0,12.0,6.0,14.0,39.0,32.0,242.0,669.0,105.0,16.0,283.0,53.0,713.0,9.0,22.0,93.0,11.0,47.0,10.0,79.0,104.0,10.0,41.0,8.0,45.0,254.0,90.0,153.0,60.0,39.0,66.0,13.0,61.0,25.0,18.0,24814.0"
