"from_station,Acton Town,Aldgate,Aldgate East,Alperton,Amersham,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank,Barbican,Barking,Barkingside,Barons Court,Bayswater,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Bond Street,Borough,Boston Manor,Bounds Green,Bow Road,Brent Cross,Brixton,Bromley-By-Bow,Buckhurst Hill,Burnt Oak,Caledonian Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canons Park,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Chigwell,Chiswick Park,Chorleywood,Clapham Common,Clapham North,Clapham South,Cockfosters,Colindale,Colliers Wood,Covent Garden,Croxley,Dagenham East,Dagenham Heathway,Debden,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East Putney,Eastcote,Edgware,Edgware Road (B),Edgware Road (C),Elephant & Castle,Elm Park,Embankment,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finsbury Park,Fulham Broadway,Gants Hill,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Grange Hill,Great Portland Street,Green Park,Greenford,Gunnersbury,Hainault,Hammersmith,Hampstead,Hanger Lane,Harlesden,Harrow & Wealdston,Harrow-on-the-Hill,Hatton Cross,Heathrow Terminal 4,Heathrow Terminals 123,Hendon Central,High Barnet,High Street Kensington,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hyde Park Corner,Ickenham,Kennington,Kensal Green,Kensington (Olympia),Kentish Town,Kenton,Kew Gardens,Kilburn,Kilburn Park,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Latimer Road,Leicester Square,Leyton,Leytonstone,Liverpool Street,London Bridge,Loughton,Maida Vale,Manor House,Mansion House,Marble Arch,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Neasden,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Perivale,Picadilly Circus,Pimlico,Pinner,Plaistow,Preston Road,Putney Bridge,Queen's Park,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Royal Oak,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Sisters,Shepherd's Bush (C),Shepherd's Bush (H),Sloane Square,Snaresbrook,South Ealing,South Harrow,South Kensington,South Kenton,South Ruislip,South Wimbledon,South Woodford,Southfields,Southgate,Southwark,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stanmore,Stepney Green,Stockwell,Stonebridge Park,Stratford,Sudbury Hill,Sudbury Town,Swiss Cottage,Temple,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Hill,Tufnell Park,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Wanstead,Warren Street,Warwick Avenue,Waterloo,Watford,Wembley Central,Wembley Park,West Acton,West Brompton,West Finchley,West Ham,West Hampstead,West Harrow,West Kensington,West Ruislip,Westbourne Park,Westminster,White City,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Woodford,Woodside Park,All"
"Acton Town,0,1,1,53,0,1,0,0,0,9,0,7,1,0,0,71,4,0,0,0,0,3,0,10,0,74,0,0,0,5,0,0,0,0,2,1,1,0,1,0,0,0,3,4,0,0,202,0,1,1,0,0,0,0,3,0,0,0,0,0,1690,198,84,32,0,0,10,0,0,2,4,2,0,4,0,5,3,0,2,0,1,1,37,0,33,0,22,1,0,2,20,3,80,0,727,0,27,0,0,0,1,0,4,0,0,38,2,0,0,6,5,0,0,16,20,6,4,0,0,0,2,1,0,80,0,1,8,0,16,32,0,5,22,6,0,0,4,6,0,2,0,1,6,5,0,0,0,2,0,1,0,0,111,43,0,0,0,196,1,0,0,0,25,0,1,21,1,22,46,85,24,4,10,5,0,0,0,13,2,0,9,85,1,0,1,402,0,0,4,0,0,0,1,0,39,33,20,0,202,1,67,0,0,0,0,4,0,3,8,2,2,98,0,0,1,0,0,3,10,1,2,0,0,0,7,0,0,1,0,286,0,0,0,0,0,0,12,48,0,0,4,2,18,0,0,0,32,23,0,0,1,0,33,0,12,7,37,1,0,1,14,0,0,0,0,5899.0"
"Aldgate,0,0,204,0,0,110,7,0,2,30,3,1222,152,4,0,2,1,0,6,49,115,195,0,53,40,0,0,16,0,39,8,0,0,11,30,137,198,23,170,0,0,7,136,53,0,0,0,0,7,6,3,0,0,0,37,0,0,0,0,0,0,0,6,0,1,3,1,0,0,4,5,71,0,70,0,87,40,0,280,0,4,25,3,0,6,3,0,19,0,19,73,0,0,0,7,4,0,0,0,0,0,0,0,1,0,4,79,2,0,139,1,9,0,0,0,0,6,0,15,0,0,12,0,0,1,1,294,0,16,2,10,5,1,60,5,2,1288,587,0,1,3,134,16,12,52,0,0,586,0,10,0,0,0,0,27,0,0,0,0,0,0,0,6,0,298,0,17,147,34,0,2,0,69,12,0,3,0,1,1,0,4,0,0,0,6,1,0,0,1,0,0,0,27,10,6,0,21,0,0,0,23,0,0,0,0,0,0,89,46,6,193,0,0,46,11,0,116,0,0,4,63,0,1,1,98,1,0,452,3,0,2,0,0,0,3,0,32,126,2,0,44,2,409,0,0,0,0,2,0,12,3,0,1,0,2,72,2,236,1,1,1,0,2,0,0,9962.0"
"Aldgate East,0,207,0,0,0,119,7,0,2,32,4,1326,165,7,0,2,1,0,7,53,125,206,1,58,43,0,0,32,0,43,16,0,0,12,33,278,400,47,179,0,0,8,148,56,0,0,0,0,8,6,4,0,0,0,40,0,0,0,0,0,0,0,6,0,1,7,1,0,0,4,6,77,0,74,0,94,43,0,303,0,4,27,3,1,7,3,0,21,0,21,77,0,0,0,8,4,0,0,0,0,0,0,0,1,0,5,86,2,0,151,1,10,0,0,0,0,7,0,17,0,0,13,0,0,1,1,319,0,16,2,11,5,1,65,10,5,1397,637,0,1,4,141,18,13,105,0,0,635,0,11,0,0,1,0,55,0,0,0,0,0,0,0,6,0,323,0,18,159,37,0,2,0,72,13,0,6,0,1,1,0,4,0,0,0,6,1,0,0,1,0,0,0,29,11,7,0,23,1,0,0,25,0,0,0,1,0,0,97,50,6,209,0,0,93,12,0,234,0,0,4,67,0,1,2,106,2,0,475,4,0,2,0,0,0,6,0,35,136,3,1,48,2,444,0,0,0,0,2,0,23,4,0,1,0,2,78,3,477,1,1,1,0,2,0,0,11595.0"
"Alperton,148,0,0,0,0,0,0,0,0,2,0,2,0,0,0,17,1,0,0,0,0,1,0,2,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,48,0,0,0,0,0,0,0,1,0,0,0,0,0,1027,120,20,19,0,0,2,5,0,1,1,0,0,1,0,1,1,0,0,0,0,0,9,0,8,0,5,0,0,1,5,2,19,0,172,0,16,0,0,11,0,0,1,0,0,9,1,0,0,1,2,0,0,4,5,2,1,0,0,0,0,0,0,19,0,0,2,0,4,8,0,1,5,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,67,57,0,1,0,46,1,3,0,0,6,0,0,5,0,5,11,328,6,2,2,1,1,0,1,3,0,0,2,20,17,0,0,95,0,0,1,1,0,2,0,0,24,8,5,0,48,34,16,0,0,0,0,1,0,1,2,0,0,23,0,0,0,0,0,77,228,0,0,0,0,0,2,0,0,0,0,68,0,0,0,0,0,5,3,11,0,0,1,1,4,0,0,4,20,5,0,0,0,3,8,0,3,2,22,0,0,0,3,0,0,0,0,3075.0"
"Amersham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,684,0,0,149,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,6,0,0,0,4,71,22,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,2,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2182.0"
"Angel,0,115,123,0,0,0,46,1,13,197,3,1013,150,2,0,4,8,0,42,40,74,70,3,195,33,0,3,10,2,33,5,0,0,71,199,100,128,15,61,0,0,46,192,90,0,0,0,0,6,5,3,0,2,0,96,0,0,0,0,1,2,0,14,2,9,2,2,0,0,24,36,59,0,100,0,574,263,0,352,2,25,165,6,0,15,20,1,81,0,126,198,0,0,0,17,24,1,1,0,0,0,0,0,5,0,15,523,15,0,360,5,60,0,0,0,0,17,0,13,2,0,79,0,0,9,7,1946,0,42,12,8,18,5,155,3,1,832,487,0,8,23,48,59,81,31,0,0,580,0,69,1,0,2,0,18,0,0,0,0,0,0,0,27,0,672,0,14,537,227,0,4,0,160,21,0,2,0,2,9,0,14,1,0,0,21,1,0,0,9,0,0,0,134,68,28,3,37,0,0,0,55,0,0,0,0,1,1,74,54,37,160,1,0,28,9,0,70,0,0,25,46,0,1,1,257,9,0,162,23,1,13,0,0,0,2,0,57,219,16,0,293,12,339,0,0,1,0,4,0,7,21,0,3,0,10,84,11,142,5,4,2,0,12,0,0,15123.0"
"Archway,0,18,19,0,0,115,0,0,5,78,2,160,45,0,0,3,3,0,123,6,12,43,1,155,5,0,1,2,6,18,1,0,1,28,584,16,20,2,16,0,0,137,75,57,0,0,0,0,3,3,2,0,5,0,45,0,0,0,0,0,1,0,11,1,448,0,1,0,1,10,14,22,0,64,0,455,102,0,137,114,10,64,5,0,12,60,0,64,0,49,157,0,0,0,14,71,0,0,0,0,0,0,0,14,14,10,203,731,0,140,3,23,0,0,0,0,14,0,6,1,0,798,0,0,3,3,756,0,34,5,5,14,2,99,0,0,131,77,0,3,9,16,47,32,5,13,0,92,0,113,0,0,1,0,3,0,0,0,0,0,0,0,17,0,78,0,6,425,90,0,3,0,115,17,0,0,0,2,3,0,11,1,0,0,16,1,0,0,3,0,0,0,52,26,17,1,29,0,0,0,43,0,0,0,0,0,0,36,34,15,39,0,0,4,5,0,11,0,0,10,29,0,0,1,203,4,5,26,449,1,5,0,0,0,0,0,45,173,6,0,232,5,211,0,0,0,0,3,9,1,8,0,2,0,4,54,7,22,2,1,2,0,4,0,15,9761.0"
"Arnos Grove,0,2,2,0,0,10,2,0,12,7,0,14,4,0,0,0,0,0,1,1,1,2,5,7,0,0,951,0,0,1,0,0,0,16,7,1,2,0,1,0,0,2,7,3,0,0,0,0,0,0,0,113,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,20,9,0,12,0,1,276,0,0,1,1,0,3,0,4,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,135,1,0,12,0,25,0,0,0,0,1,0,0,0,0,3,0,0,0,0,67,0,1,0,0,1,0,5,0,0,12,7,0,0,106,1,2,3,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,201,7,0,0,19,8,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,113,1,0,1,0,0,0,2,0,0,0,0,0,1081,2,2,1,3,0,0,0,0,0,1,0,0,1,2,0,0,0,9,16,0,2,1,0,504,0,0,0,0,0,2,8,27,0,10,0,11,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,1059,0,0,5026.0"
"Arsenal,0,7,7,0,0,43,7,4,0,28,0,59,17,0,0,1,1,0,6,2,4,10,12,28,2,0,10,1,0,3,0,0,0,67,29,6,8,1,4,0,0,7,28,13,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,5,5,0,14,0,83,38,0,51,0,4,634,1,0,2,3,0,12,0,18,29,0,0,0,2,4,0,0,0,0,0,0,0,1,0,2,309,2,0,52,1,102,0,0,0,0,3,0,1,0,0,11,0,0,1,1,281,0,6,2,1,3,1,22,0,0,49,29,0,1,87,4,9,12,2,0,0,34,0,10,0,0,0,0,1,0,0,0,0,0,0,0,4,1,29,0,1,77,33,0,1,0,23,3,0,0,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,19,259,4,0,5,0,0,0,8,0,0,0,0,0,3,8,8,5,14,0,0,2,1,0,4,0,0,4,7,0,0,0,37,36,0,10,3,0,51,0,0,0,0,0,8,32,63,0,42,2,48,0,0,0,0,1,0,0,3,0,0,0,1,12,2,8,1,1,0,0,44,0,0,3317.0"
"Baker Street,2,35,38,0,0,222,35,1,10,0,9,412,88,1,0,29,68,0,32,20,23,157,2,1186,19,0,2,3,2,106,1,0,0,54,152,51,52,6,57,0,0,36,227,207,0,0,2,0,19,15,9,0,1,1,148,0,0,0,0,9,15,1,106,16,7,1,12,0,0,206,306,79,0,230,0,439,513,0,265,2,214,125,47,0,72,16,10,121,0,438,911,0,2,0,134,19,4,6,1,0,0,0,0,4,0,131,394,11,0,425,47,45,0,0,0,0,80,0,21,14,3,60,0,2,74,56,1467,1,195,106,19,109,41,325,1,0,255,246,0,70,17,59,358,686,10,0,0,178,1,53,5,0,19,0,7,0,0,1,0,0,0,0,225,0,152,0,23,1914,1922,0,31,1,519,99,0,1,0,16,75,0,85,8,0,0,178,10,0,0,74,0,0,0,101,51,238,21,169,0,1,0,252,0,0,0,0,5,1,131,167,313,118,4,0,8,29,3,21,0,0,209,106,0,3,4,624,7,0,60,17,7,10,0,0,0,1,0,260,1006,12,0,365,102,761,0,3,7,1,29,0,2,181,0,22,0,86,261,96,44,39,30,17,1,9,0,0,24811.0"
